State,Latitude,Longitude,Rainfall,Soil_Moisture,Slope,Elevation,Temperature,Risk
Mizoram,24.395457,92.263303,500.0,0.758,17.7,580.3,29.4,High
Mizoram,22.15482,92.257286,183.6,0.279,28.7,692.2,26.6,Moderate
Sikkim,27.222332,88.487143,177.5,0.192,30.0,1166.6,25.0,Moderate
Mizoram,23.578488,92.259261,58.1,0.298,43.8,1620.6,20.4,Moderate
Tripura,24.413553,92.094815,94.9,0.348,32.3,1973.9,14.1,Moderate
Nagaland,25.763564,93.454375,254.3,0.474,22.0,1252.9,27.1,Moderate
Mizoram,22.341706,92.365028,67.3,0.229,7.3,50.0,29.8,Low
Manipur,24.034239,93.933411,113.1,0.251,2.0,773.7,23.4,Low
Meghalaya,25.295017,90.874419,138.6,0.332,27.5,1106.4,20.3,Low
Mizoram,24.472714,93.089609,21.4,0.146,41.9,2425.9,14.5,Low
Meghalaya,26.138777,90.22767,500.0,0.876,34.1,2324.9,11.8,Critical
Manipur,24.526065,93.998517,121.7,0.266,34.5,1523.5,20.2,Low
Manipur,23.94584,93.007537,141.2,0.51,47.2,2195.8,21.7,Moderate
Meghalaya,25.804521,91.725459,129.9,0.164,36.6,1443.5,25.5,Low
Arunachal Pradesh,27.732366,94.193042,55.4,0.078,37.6,2228.1,22.6,Low
Assam,25.744861,89.851232,217.2,0.517,52.1,2060.2,18.1,High
Sikkim,27.402446,88.159374,48.4,0.298,22.6,1572.3,20.6,Low
Arunachal Pradesh,26.795273,96.761962,83.1,0.129,43.6,1994.2,15.7,Moderate
Arunachal Pradesh,28.298079,95.50761,16.2,0.284,55.6,1403.5,22.3,Moderate
Nagaland,25.799191,94.086294,485.3,0.754,25.8,950.6,24.8,High
Sikkim,27.284309,88.087269,51.2,0.33,32.5,994.7,25.6,Moderate
Sikkim,27.214838,88.717763,89.9,0.21,48.8,2124.0,18.5,Moderate
Arunachal Pradesh,28.532637,94.508109,168.1,0.391,51.5,1918.1,17.6,Moderate
Mizoram,23.135234,93.399165,188.2,0.514,32.5,2323.3,17.6,Moderate
Nagaland,25.338196,93.861202,200.1,0.386,7.3,314.3,26.9,Moderate
Nagaland,25.864882,94.864852,46.6,0.082,25.3,1258.1,26.9,Low
Manipur,25.685778,93.433207,66.0,0.123,22.1,172.8,31.3,Low
Tripura,24.298892,92.07981,44.9,0.165,14.2,1036.6,22.5,Low
Sikkim,27.269589,88.359399,123.5,0.27,41.2,1659.3,19.3,Low
Arunachal Pradesh,27.729019,96.880214,190.5,0.613,51.0,2857.8,9.9,High
Manipur,24.143695,94.438484,106.5,0.252,56.8,2851.6,12.3,Moderate
Meghalaya,25.401031,91.992611,160.6,0.208,52.4,2317.7,14.4,Moderate
Assam,25.764046,93.343667,145.6,0.301,53.2,3044.7,10.7,Moderate
Tripura,24.232179,92.045415,64.0,0.373,28.4,1105.1,25.5,Moderate
Tripura,24.286277,91.077503,226.8,0.532,38.1,349.0,31.6,Moderate
Tripura,24.007281,91.181984,9.9,0.278,27.7,1832.9,15.8,Moderate
Nagaland,25.990055,94.397177,122.2,0.285,51.8,2437.1,12.4,Moderate
Meghalaya,25.483287,91.358835,135.3,0.289,21.6,913.1,26.9,Moderate
Tripura,24.494442,91.175783,156.9,0.441,20.9,1120.8,21.4,Moderate
Meghalaya,25.810547,90.988003,151.8,0.41,38.8,2292.2,16.1,Moderate
Mizoram,22.245825,92.406358,301.1,0.68,50.1,2361.9,18.3,High
Tripura,24.418837,92.143482,116.8,0.411,71.7,3111.1,11.5,Moderate
Assam,27.809576,95.946656,53.7,0.185,12.1,186.1,32.1,Low
Meghalaya,25.249978,90.866318,275.7,0.422,48.0,1094.6,23.3,Moderate
Meghalaya,25.803063,91.251408,174.4,0.65,48.3,2210.1,18.3,Moderate
Assam,25.757236,91.954211,58.0,0.164,25.3,637.4,28.3,Low
Tripura,23.850049,91.748271,203.6,0.366,55.4,1954.2,20.3,Moderate
Assam,24.678123,92.671961,264.7,0.596,26.7,1525.9,19.4,Moderate
Meghalaya,25.664166,91.510861,59.8,0.227,2.0,478.2,28.2,Low
Assam,24.88245,94.37631,185.5,0.496,42.0,1910.4,15.3,Moderate
Meghalaya,25.030239,90.864496,45.8,0.161,50.3,2771.9,15.9,Low
Meghalaya,25.936255,91.491679,98.5,0.18,8.3,448.6,31.9,Low
Mizoram,22.579022,93.103439,80.4,0.183,47.5,2157.6,18.6,Moderate
Arunachal Pradesh,28.202173,95.87934,70.7,0.228,21.3,636.2,27.5,Low
Meghalaya,25.88203,91.630324,126.5,0.509,35.9,1890.5,17.2,Moderate
Tripura,23.681084,91.173137,10.3,0.308,43.4,2153.6,12.8,Low
Manipur,24.296533,93.754379,216.0,0.374,39.4,1816.7,19.5,Moderate
Nagaland,26.338669,94.327416,264.5,0.576,36.4,1837.5,16.8,High
Sikkim,27.345821,88.005818,31.0,0.092,47.9,1807.1,19.1,Low
Arunachal Pradesh,27.988718,93.070943,61.5,0.241,48.4,1936.5,17.3,Low
Arunachal Pradesh,28.703825,91.631704,133.4,0.25,37.3,2150.2,21.3,Moderate
Arunachal Pradesh,28.254483,96.678108,116.0,0.342,46.8,1617.9,22.2,Moderate
Mizoram,22.353464,92.813144,115.8,0.418,32.5,2048.4,15.0,Moderate
Meghalaya,25.109706,91.677046,118.6,0.297,26.9,1198.3,23.8,Moderate
Mizoram,23.331382,92.729575,142.0,0.199,25.7,906.9,27.7,Low
Meghalaya,25.625652,92.489724,168.2,0.441,8.0,50.0,26.9,Low
Tripura,23.214071,91.029334,22.4,0.126,35.9,1613.0,19.8,Low
Mizoram,24.140329,92.950252,60.0,0.206,32.3,1105.7,23.2,Low
Mizoram,24.215712,92.976029,58.1,0.255,32.6,2346.6,14.9,Low
Nagaland,26.739306,94.159347,146.5,0.267,29.0,870.5,24.8,Low
Manipur,25.224734,94.643475,208.9,0.472,12.0,266.0,25.4,Moderate
Mizoram,23.38752,92.435021,139.8,0.372,34.3,895.9,26.3,Moderate
Nagaland,25.710715,93.697289,242.1,0.463,29.6,1160.3,21.8,Moderate
Assam,25.0368,91.630417,173.9,0.366,35.3,2156.4,16.6,Moderate
Manipur,24.854754,94.058385,40.7,0.29,40.7,1465.5,20.7,Low
Tripura,23.5824,91.800047,140.2,0.339,20.1,1133.7,21.0,Low
Mizoram,22.112095,92.314125,64.0,0.304,32.3,1732.6,15.6,Low
Sikkim,27.206195,88.46627,89.4,0.397,47.0,2899.1,12.1,Moderate
Arunachal Pradesh,27.141984,93.058064,125.4,0.342,16.1,297.0,26.8,Low
Assam,25.681314,94.814757,216.6,0.324,51.7,1872.6,23.2,Moderate
Assam,24.058221,93.791087,121.1,0.26,13.1,392.4,27.5,Low
Tripura,23.970202,92.038253,170.8,0.281,61.3,1875.9,15.0,Moderate
Nagaland,26.972231,93.340276,97.2,0.29,48.9,1906.2,15.4,Moderate
Assam,24.645892,95.282879,99.7,0.328,38.0,1702.8,21.5,Low
Manipur,24.671185,94.016263,109.1,0.254,38.1,1522.7,21.8,Moderate
Mizoram,23.623871,93.082787,86.8,0.189,31.4,1056.3,23.3,Low
Mizoram,24.322525,93.496034,60.2,0.275,43.9,1698.8,15.0,Moderate
Sikkim,27.864189,88.258499,285.8,0.514,45.8,2248.3,13.7,Moderate
Tripura,24.307604,91.063987,138.4,0.42,44.5,1458.6,23.7,Moderate
Arunachal Pradesh,27.193243,96.435621,157.3,0.385,33.3,1924.7,20.7,Moderate
Nagaland,25.686764,93.741302,101.4,0.293,43.1,2698.1,16.9,Low
Arunachal Pradesh,26.914376,96.225115,82.8,0.192,2.0,398.6,27.7,Low
Assam,26.100245,93.951827,50.5,0.092,39.1,1946.1,18.5,Low
Tripura,23.282506,91.985453,76.3,0.238,12.0,246.5,29.0,Low
Sikkim,27.912007,88.281338,63.5,0.232,5.4,728.9,23.8,Low
Arunachal Pradesh,27.732048,92.653297,116.1,0.333,26.3,1269.3,25.3,Moderate
Manipur,25.655466,94.162085,108.6,0.234,19.0,896.6,22.0,Low
Mizoram,24.329814,92.594401,228.1,0.369,16.9,677.8,22.5,Low
Assam,27.283942,94.524909,250.7,0.518,46.9,2744.0,13.2,Moderate
Sikkim,27.829987,88.869075,180.2,0.518,8.9,184.1,30.4,Moderate
Arunachal Pradesh,27.680666,92.218945,262.1,0.632,49.8,2221.2,20.3,High
Nagaland,26.476247,94.75862,153.5,0.333,32.0,1644.0,18.6,Moderate
Manipur,24.892615,93.372272,15.7,0.091,42.0,1583.9,20.1,Low
Manipur,24.758466,93.561942,42.1,0.068,28.0,735.0,27.9,Low
Arunachal Pradesh,27.7824,95.048702,201.4,0.322,44.3,2186.4,16.9,Moderate
Mizoram,23.837558,92.501892,86.9,0.06,39.6,1836.9,19.1,Low
Arunachal Pradesh,27.715976,92.980389,72.3,0.221,43.2,1361.2,24.0,Low
Assam,24.834253,94.635339,81.9,0.238,32.7,866.1,23.1,Low
Arunachal Pradesh,29.227758,93.536277,43.0,0.061,63.2,2229.9,17.4,Low
Manipur,25.22743,94.614592,277.0,0.436,53.7,2262.2,14.4,High
Sikkim,28.015349,88.164532,87.1,0.368,55.3,2226.8,21.0,Moderate
Arunachal Pradesh,29.368876,93.57172,84.3,0.201,48.4,1455.7,22.1,Moderate
Mizoram,22.782026,92.281161,138.6,0.386,39.6,1357.1,17.9,Moderate
Tripura,23.677878,91.141718,258.6,0.437,26.6,886.1,26.1,Moderate
Sikkim,27.298248,88.285248,130.6,0.304,53.5,2125.5,21.0,Moderate
Nagaland,26.73677,95.050977,311.1,0.538,2.0,50.0,27.5,Moderate
Meghalaya,25.36296,92.376094,76.4,0.108,46.7,1525.9,24.5,Low
Arunachal Pradesh,29.071693,95.70558,234.2,0.471,47.1,2200.6,16.8,Moderate
Mizoram,22.281407,93.09742,10.0,0.128,16.7,547.9,25.1,Low
Sikkim,28.134029,88.614286,78.1,0.309,24.6,849.7,25.3,Low
Mizoram,22.762204,92.850753,242.6,0.528,23.4,915.9,23.1,Moderate
Nagaland,26.426878,94.321141,158.5,0.247,44.5,1846.8,20.3,Moderate
Manipur,24.027911,93.561715,130.3,0.383,32.5,1639.1,17.9,Moderate
Mizoram,23.98623,93.319843,96.2,0.25,12.7,743.7,29.1,Low
Sikkim,27.16476,88.857148,109.8,0.318,27.1,1009.5,23.8,Low
Mizoram,22.754939,93.061008,76.2,0.15,6.2,258.6,27.5,Low
Mizoram,23.854745,93.25553,57.6,0.331,47.2,2675.3,13.1,Moderate
Mizoram,24.358949,92.606795,42.2,0.195,18.6,108.9,26.3,Low
Assam,27.605727,90.529627,69.6,0.307,35.0,1450.7,23.5,Low
Assam,26.961172,94.37446,100.3,0.261,44.7,2215.3,15.5,Moderate
Manipur,25.087674,93.454167,60.5,0.203,19.7,979.3,24.9,Low
Arunachal Pradesh,29.119129,92.428722,44.6,0.05,40.7,1657.2,22.8,Low
Mizoram,22.03945,93.132704,254.3,0.57,49.7,2378.6,11.9,Moderate
Nagaland,26.103404,94.998196,77.3,0.05,36.3,1548.1,24.5,Low
Arunachal Pradesh,27.650191,92.425532,229.8,0.595,18.8,418.6,22.3,Moderate
Nagaland,26.78924,94.397819,62.2,0.05,48.8,1878.1,21.8,Moderate
Arunachal Pradesh,27.067587,95.462112,204.0,0.456,29.6,1645.9,20.1,Moderate
Manipur,24.771116,94.087763,128.9,0.347,14.8,323.8,27.9,Low
Mizoram,23.098336,93.277322,167.5,0.478,45.5,1404.2,25.3,Moderate
Mizoram,24.056863,93.122205,31.5,0.231,33.6,1094.9,22.2,Low
Meghalaya,25.126482,92.316562,102.4,0.259,12.9,1516.3,23.3,Low
Nagaland,26.474925,94.694048,63.8,0.163,2.0,974.3,26.2,Low
Arunachal Pradesh,27.588949,96.336038,66.7,0.126,20.4,1824.2,19.1,Low
Arunachal Pradesh,28.676115,92.119248,139.5,0.31,43.2,1397.1,20.2,Moderate
Tripura,23.552445,92.152294,111.7,0.32,56.3,1891.6,15.1,Moderate
Tripura,22.975515,92.249842,57.3,0.239,39.6,1845.4,15.2,Low
Assam,26.852483,93.677669,97.5,0.147,24.4,1755.0,20.7,Low
Meghalaya,25.324671,90.546375,98.0,0.119,17.7,1725.2,17.2,Low
Sikkim,28.13047,88.268445,92.5,0.205,26.3,656.7,27.8,Moderate
Tripura,24.140808,91.511058,152.4,0.344,12.5,1076.4,23.0,Low
Sikkim,27.167105,88.009644,150.1,0.295,39.8,1453.6,20.3,Moderate
Assam,26.285881,95.847407,215.2,0.455,2.0,1039.7,22.0,Low
Assam,25.550372,91.950312,203.9,0.422,41.3,2126.3,14.6,Moderate
Assam,25.445185,92.979426,50.6,0.242,61.7,2604.0,20.1,Low
Nagaland,26.037263,95.059829,95.4,0.16,35.1,1873.3,18.9,Low
Nagaland,26.16049,94.315516,10.2,0.262,62.2,2268.9,17.9,Moderate
Manipur,24.062906,94.768931,94.8,0.244,30.3,1037.5,22.2,Moderate
Manipur,24.274948,93.132055,93.2,0.277,61.9,3500.0,9.1,Moderate
Assam,26.785214,93.450808,193.1,0.378,64.1,2355.0,19.0,High
Meghalaya,25.498175,91.066577,168.1,0.357,52.7,1998.3,19.3,Moderate
Arunachal Pradesh,28.855192,92.57642,38.1,0.071,29.6,1659.2,23.2,Low
Nagaland,26.758481,94.597494,58.6,0.344,29.6,669.3,26.9,Moderate
Meghalaya,25.502764,91.174086,122.7,0.383,27.1,1492.9,17.6,Moderate
Mizoram,22.567283,93.177749,141.7,0.434,23.5,1370.2,22.2,Moderate
Nagaland,26.174462,93.941709,197.8,0.241,41.5,1947.0,18.6,Moderate
Nagaland,26.332495,95.291469,81.9,0.186,44.6,2218.6,18.3,Low
Manipur,24.626998,94.657245,143.4,0.275,2.0,767.8,33.0,Low
Arunachal Pradesh,27.535051,91.80103,106.0,0.216,44.2,1248.9,21.5,Moderate
Arunachal Pradesh,27.112726,93.802823,55.1,0.243,41.5,1668.5,25.4,Low
Tripura,23.251416,91.000295,99.9,0.242,47.5,1997.0,19.3,Moderate
Sikkim,28.098002,88.759491,173.6,0.435,10.8,953.7,25.3,Moderate
Sikkim,27.890751,88.151033,57.2,0.084,29.8,1359.2,28.6,Low
Sikkim,27.144436,88.060844,63.4,0.149,51.0,1701.9,16.9,Low
Sikkim,27.868835,88.835927,45.6,0.1,29.3,1133.4,24.5,Low
Mizoram,23.019393,92.354883,53.0,0.124,29.0,1209.2,16.6,Low
Mizoram,23.232221,92.653481,228.9,0.496,40.9,2470.7,15.3,Moderate
Nagaland,25.912167,94.542661,167.1,0.426,43.3,2244.9,17.0,Moderate
Assam,27.018616,90.396803,118.2,0.174,56.6,1819.6,18.4,Moderate
Manipur,23.867621,94.789795,66.1,0.266,32.6,1212.8,20.7,Moderate
Manipur,24.242184,93.096895,107.1,0.179,48.0,2352.2,16.5,Moderate
Sikkim,27.22785,88.035062,65.9,0.122,37.3,1324.9,23.4,Moderate
Nagaland,25.944441,94.904804,65.2,0.146,40.9,1242.6,18.0,Low
Tripura,23.445991,91.577438,34.4,0.101,2.6,790.4,27.2,Low
Meghalaya,25.810704,91.326682,217.8,0.542,36.5,942.0,24.0,Moderate
Assam,27.618072,95.156025,161.4,0.331,67.7,3063.7,6.9,Moderate
Nagaland,25.21883,94.856093,231.3,0.324,36.6,1621.2,18.9,Moderate
Assam,25.935081,95.929695,96.3,0.162,30.9,1242.6,20.3,Low
Assam,26.029575,95.917444,29.4,0.17,26.4,1075.0,28.2,Low
Assam,27.169191,91.266211,214.1,0.609,4.9,138.6,27.0,Moderate
Nagaland,26.22295,95.284271,220.5,0.466,28.6,1100.4,21.8,Moderate
Sikkim,28.029037,88.08763,24.5,0.125,48.0,2390.7,17.3,Low
Manipur,25.142107,93.622043,150.1,0.373,29.9,1387.4,25.6,Moderate
Manipur,23.813266,93.726266,374.3,0.874,36.6,1509.6,20.1,High
Sikkim,27.281705,88.736982,89.8,0.282,60.6,1883.7,19.0,Moderate
Assam,25.416789,94.913399,38.1,0.219,46.9,1625.1,20.5,Moderate
Meghalaya,25.000718,90.723457,387.3,0.658,53.9,2164.6,14.9,High
Arunachal Pradesh,27.223496,92.78462,65.1,0.214,30.3,1773.9,22.4,Low
Nagaland,25.329555,93.674249,74.2,0.081,43.7,1300.8,26.4,Low
Arunachal Pradesh,28.166649,93.102486,45.4,0.153,20.9,1467.0,17.3,Low
Tripura,23.567832,91.489927,166.2,0.315,24.2,1544.7,23.2,Moderate
Sikkim,28.051086,88.814769,321.8,0.611,33.5,2266.1,17.2,High
Meghalaya,25.591548,90.790468,52.7,0.217,50.0,1887.3,21.9,Low
Nagaland,25.402921,95.206806,50.2,0.088,35.0,1435.9,20.6,Low
Sikkim,27.072272,88.267885,94.2,0.206,23.8,1469.8,21.1,Low
Assam,25.251878,91.718528,87.4,0.192,59.6,2724.3,17.0,Moderate
Manipur,24.112145,94.409691,77.5,0.29,34.4,1164.6,22.1,Moderate
Arunachal Pradesh,26.867494,94.991987,113.1,0.371,24.1,50.0,30.9,Moderate
Mizoram,22.222,92.291696,146.6,0.138,21.2,1174.6,20.9,Low
Mizoram,24.264517,92.447167,189.2,0.244,25.8,618.6,26.4,Moderate
Meghalaya,25.9855,91.433893,91.0,0.228,45.6,2387.2,17.7,Moderate
Assam,24.326997,95.719324,53.4,0.201,32.5,1429.3,19.5,Low
Tripura,23.295138,92.117539,137.4,0.348,34.4,1789.6,20.9,Moderate
Arunachal Pradesh,27.00643,96.196686,116.4,0.383,20.9,865.4,27.4,Low
Assam,24.055561,92.924217,40.7,0.097,7.4,426.2,28.0,Low
Arunachal Pradesh,28.808328,96.641375,25.2,0.05,30.8,1001.3,29.5,Low
Meghalaya,26.091043,92.258875,217.7,0.51,33.3,1912.4,14.8,Moderate
Meghalaya,26.06583,90.397659,21.5,0.208,35.3,1540.4,24.4,Low
Tripura,23.354695,91.375659,219.3,0.43,60.0,2544.5,11.7,Moderate
Mizoram,22.88034,92.711317,56.2,0.335,45.5,1989.5,18.4,Moderate
Assam,26.287132,90.707243,184.2,0.299,46.4,2210.8,20.0,Moderate
Nagaland,26.513369,93.635133,129.0,0.33,15.9,780.8,31.9,Low
Mizoram,22.706802,92.854349,241.6,0.296,21.3,968.4,20.6,Moderate
Assam,27.34505,94.358656,195.1,0.431,8.4,989.6,22.1,Moderate
Mizoram,23.578389,92.402505,128.6,0.355,58.6,2778.0,11.7,Moderate
Nagaland,26.239386,93.474893,72.1,0.331,28.1,1248.9,21.0,Low
Manipur,24.51699,93.74433,31.1,0.224,33.8,1614.5,20.1,Low
Manipur,23.875642,93.493179,134.5,0.237,28.5,1462.8,21.1,Low
Tripura,24.429039,92.239722,18.3,0.106,13.2,558.0,27.0,Low
Manipur,24.469421,93.07758,91.8,0.471,43.1,2782.1,14.3,Moderate
Manipur,24.14028,93.705992,63.7,0.298,32.0,2419.0,14.5,Moderate
Sikkim,28.137336,88.127079,96.3,0.317,3.2,300.2,26.4,Low
Arunachal Pradesh,28.790548,92.097754,104.3,0.35,27.2,1612.2,19.1,Moderate
Sikkim,28.177509,88.343455,170.2,0.446,37.6,2655.1,13.7,Moderate
Sikkim,27.930281,88.308332,140.9,0.324,45.2,2633.6,10.7,Moderate
Tripura,23.90427,91.249621,353.1,0.728,75.0,2682.6,20.0,Critical
Sikkim,27.175225,88.844258,191.3,0.423,26.9,1221.5,21.3,Moderate
Manipur,25.54353,94.597444,102.9,0.259,51.9,1977.8,14.1,Moderate
Nagaland,26.388324,94.916536,236.0,0.579,18.8,1233.1,21.1,Moderate
Tripura,23.010459,91.435226,96.2,0.22,45.6,2418.0,13.4,Moderate
Tripura,23.401925,91.826339,57.1,0.071,18.7,1417.6,23.6,Low
Meghalaya,25.427149,90.24552,256.4,0.479,34.9,824.4,24.0,Moderate
Tripura,23.854347,92.058699,138.6,0.371,24.4,838.3,30.1,Low
Meghalaya,25.458548,90.196806,131.3,0.32,12.1,592.9,28.8,Low
Tripura,23.214701,91.308728,63.2,0.18,53.1,1823.3,20.3,Low
Arunachal Pradesh,27.399693,95.035373,171.1,0.302,50.6,2710.2,8.5,Moderate
Manipur,24.941796,94.252944,83.7,0.409,29.9,791.8,27.6,Moderate
Tripura,23.480003,92.071197,275.6,0.409,28.3,1836.0,15.9,Moderate
Manipur,24.187767,93.844273,72.2,0.32,32.5,1342.2,24.8,Low
Manipur,25.321784,93.324286,59.6,0.366,50.7,2079.9,19.4,Moderate
Mizoram,22.185644,93.348789,284.1,0.342,27.0,283.4,31.2,Low
Tripura,23.448687,91.889031,81.1,0.268,43.1,1713.7,20.2,Low
Assam,24.106464,94.047295,99.1,0.239,27.7,1329.1,21.3,Low
Mizoram,22.721863,92.272463,49.5,0.269,45.9,1687.7,18.3,Low
Assam,26.561214,91.217064,24.5,0.078,20.0,245.9,31.2,Low
Manipur,24.534934,93.145045,36.2,0.333,26.3,1282.8,22.8,Low
Manipur,24.07961,93.536359,136.0,0.379,47.3,1346.6,16.0,Moderate
Mizoram,22.133375,93.384074,34.9,0.263,28.1,1577.2,19.9,Low
Mizoram,21.915722,92.829018,23.3,0.155,60.7,1582.8,22.8,Low
Assam,24.517639,91.638378,115.8,0.27,27.1,917.2,22.9,Low
Meghalaya,26.111271,90.285084,113.8,0.263,2.0,222.5,31.2,Low
Assam,28.056496,90.996505,100.6,0.278,23.8,496.6,30.7,Low
Mizoram,23.828072,92.91068,38.1,0.062,22.1,1297.8,23.4,Low
Nagaland,26.88051,94.407987,85.0,0.236,41.8,2301.6,22.2,Moderate
Mizoram,23.289854,92.454095,245.4,0.426,31.7,1281.3,20.8,Moderate
Nagaland,25.515836,95.132978,167.4,0.392,27.8,1194.3,24.4,Moderate
Arunachal Pradesh,27.483515,93.546452,66.6,0.163,26.6,899.5,23.2,Low
Mizoram,23.875542,92.640471,94.3,0.195,45.1,2106.4,17.5,Moderate
Arunachal Pradesh,29.356187,95.558603,119.1,0.41,48.6,2019.9,21.3,Moderate
Meghalaya,25.716915,92.442685,224.8,0.448,14.9,163.8,29.5,Moderate
Assam,24.208345,91.319495,230.5,0.292,36.1,963.9,25.2,Moderate
Nagaland,26.083569,93.753957,192.2,0.39,40.9,2218.3,16.2,Moderate
Assam,27.124402,95.491011,307.2,0.585,27.0,969.7,22.9,Moderate
Arunachal Pradesh,27.77131,93.381729,362.6,0.74,43.5,2329.9,13.2,Critical
Nagaland,27.026946,94.189705,48.9,0.397,31.2,2000.2,18.1,Moderate
Assam,26.054003,91.915394,128.7,0.46,58.5,2832.7,13.2,Moderate
Mizoram,24.264826,92.939642,287.2,0.483,36.2,907.2,22.8,Moderate
Manipur,25.248132,94.461252,4.0,0.242,22.8,1478.2,17.8,Low
Arunachal Pradesh,27.525547,93.885319,29.9,0.166,28.7,1564.7,20.4,Low
Assam,27.563581,91.988509,69.4,0.353,46.6,1389.4,22.1,Low
Arunachal Pradesh,28.881805,96.675458,7.6,0.335,53.0,2217.1,18.7,Low
Sikkim,27.747852,88.667465,257.9,0.632,29.8,359.8,26.4,Moderate
Arunachal Pradesh,28.915292,96.147718,56.2,0.275,25.7,1530.8,18.5,Low
Nagaland,25.950601,93.402527,91.9,0.251,40.2,1232.5,24.7,Low
Sikkim,27.482252,88.606381,144.2,0.281,20.6,1596.0,20.3,Low
Tripura,23.620561,91.973652,26.3,0.171,14.0,268.1,29.3,Low
Nagaland,25.878267,94.569488,105.5,0.287,22.3,827.7,24.3,Low
Manipur,24.154198,94.348865,91.4,0.286,9.7,582.3,29.7,Low
Sikkim,27.654835,88.183658,97.2,0.159,27.5,656.0,23.1,Low
Tripura,23.367058,91.973191,140.2,0.216,3.6,155.2,26.0,Low
Mizoram,23.154763,92.480841,119.1,0.273,53.4,1641.4,23.6,Moderate
Arunachal Pradesh,29.401814,95.433188,42.6,0.156,46.2,1963.7,18.7,Moderate
Assam,28.019966,92.390762,261.9,0.543,31.1,1341.1,20.8,Moderate
Meghalaya,25.57012,92.493866,123.1,0.239,45.9,1568.3,20.2,Moderate
Arunachal Pradesh,28.075148,95.390034,67.0,0.206,20.5,735.0,24.6,Low
Tripura,23.303477,91.580744,216.4,0.365,43.3,1808.3,21.7,Moderate
Arunachal Pradesh,26.87035,92.63289,136.1,0.402,56.9,2513.8,18.1,Moderate
Manipur,23.801792,93.070677,299.1,0.545,28.3,1197.2,26.7,Moderate
Mizoram,24.440938,92.51506,47.6,0.164,15.3,840.9,23.8,Low
Meghalaya,25.795973,92.317299,68.8,0.122,25.0,1373.6,17.3,Low
Sikkim,27.660793,88.13783,247.8,0.434,22.2,1175.7,22.7,Moderate
Sikkim,27.87374,88.540226,39.0,0.093,19.7,669.8,27.4,Low
Sikkim,27.877501,88.692772,174.6,0.499,32.3,2268.1,17.5,Moderate
Tripura,24.460657,91.745632,89.8,0.253,36.9,2876.4,12.6,Moderate
Nagaland,25.849118,94.596929,181.4,0.367,49.8,2048.6,15.2,Moderate
Nagaland,25.330037,95.094795,125.7,0.321,12.8,950.6,24.0,Low
Assam,24.5014,91.76541,51.0,0.151,2.0,50.0,27.0,Low
Meghalaya,25.978894,91.591937,78.0,0.496,17.6,768.8,25.4,Moderate
Sikkim,27.472363,88.426092,13.7,0.077,23.2,189.1,27.3,Low
Nagaland,26.82364,93.980009,63.6,0.14,49.8,1781.7,19.4,Low
Tripura,24.291439,91.114575,66.5,0.069,5.1,50.0,29.6,Low
Assam,27.262553,95.03955,319.4,0.652,5.4,584.5,26.4,Moderate
Mizoram,22.372726,92.75945,83.8,0.184,16.1,839.6,27.0,Low
Assam,24.695099,94.151606,101.2,0.185,45.1,2221.2,15.8,Moderate
Nagaland,26.217161,94.570647,212.0,0.441,44.0,2935.8,12.7,Moderate
Manipur,24.173325,93.381143,18.6,0.05,33.3,1769.0,23.4,Low
Tripura,22.966396,91.418688,113.7,0.342,27.7,1221.3,24.0,Moderate
Manipur,24.863515,94.544283,162.9,0.307,35.3,1645.8,19.9,Moderate
Sikkim,27.800313,88.391857,156.6,0.335,39.3,1503.3,19.2,Moderate
Manipur,25.610928,94.294641,16.0,0.05,41.1,2100.5,16.4,Moderate
Sikkim,28.116198,88.474829,224.4,0.44,26.8,1027.8,25.9,Moderate
Sikkim,27.310685,88.047544,141.5,0.267,59.2,2012.3,20.0,Moderate
Nagaland,26.579561,93.542606,131.4,0.422,52.8,1724.7,19.4,Moderate
Manipur,24.375273,93.958448,126.3,0.285,14.9,593.7,23.6,Moderate
Sikkim,27.6773,88.540525,56.1,0.295,33.1,1900.5,18.7,Moderate
Meghalaya,25.199506,90.939212,65.9,0.181,57.0,1727.3,17.7,Moderate
Mizoram,23.504705,93.460765,267.0,0.498,58.3,1633.5,15.4,High
Assam,27.056051,95.512404,144.4,0.496,42.8,2482.8,17.0,High
Assam,27.201291,93.427817,13.4,0.113,39.6,2073.4,21.7,Low
Nagaland,25.564844,94.633371,33.8,0.225,52.9,1314.7,21.6,Low
Manipur,24.984421,94.084445,29.2,0.05,28.5,1356.0,20.0,Low
Manipur,24.730593,93.951582,18.8,0.213,34.4,1261.3,22.8,Low
Sikkim,27.401331,88.467381,101.2,0.266,43.7,1649.8,16.5,Moderate
Tripura,23.216089,92.046727,107.1,0.372,29.3,1606.5,15.9,Low
Arunachal Pradesh,27.057331,91.967315,87.0,0.325,29.8,1986.5,16.9,Low
Sikkim,27.523495,88.592477,228.7,0.361,36.5,1147.7,24.1,Moderate
Mizoram,23.038064,92.55978,208.5,0.17,2.0,50.0,29.3,Low
Meghalaya,25.669805,90.841007,76.2,0.127,43.5,1829.3,19.1,Low
Assam,27.918044,95.512664,119.4,0.31,37.7,1185.1,26.6,Moderate
Sikkim,27.602846,88.295096,181.3,0.489,9.0,386.5,31.9,Moderate
Arunachal Pradesh,28.711397,91.701921,113.5,0.357,53.4,2480.1,15.9,Moderate
